"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90907138","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133337",""
"1ZR4R346YW90935045","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.91","-$2.98","$11.93","3133575",""
"1ZR4R346YW90936571","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","732648",""
"1ZR4R346YW90949594","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.83","-$3.16","$12.67","3134054",""
"1ZR4R346YW90967485","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.90","-$3.46","$16.44","3133366",""
"1ZR4R346YW90971827","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3133498",""
"1ZR4R346YW90984788","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3134061",""
"1ZR4R346YW90990226","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134093",""
"1ZR4R346YW91013664","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.38","-$2.96","$14.42","3133380",""
"1ZR4R346YW91020601","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133956",""
"1ZR4R346YW91026703","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.59","-$3.01","$14.58","3133771",""
"1ZR4R346YW91042114","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134065",""
"1ZR4R346YW91076007","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3133226",""
"1ZR4R346YW91141436","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3133187",""
"1ZR4R346YW91187085","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.42","-$2.89","$11.53","3133266",""
"1ZR4R346YW91189823","Dec 06, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.54","-$3.59","$16.95","3132951",""
"1ZR4R346YW91203968","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3133669",""
"1ZR4R346YW91233917","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3133448",""
"1ZR4R346YW91246010","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.09","-$3.50","$16.59","3133225",""
"1ZR4R346YW91246672","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.28","-$2.74","$13.54","3133779",""
"1ZR4R346YW91269488","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.77","-$2.96","$11.81","3133993",""
"1ZR4R346YW91294183","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134027",""
"1ZR4R346YW91295619","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.59","-$3.01","$14.58","3133661",""
"1ZR4R346YW91314839","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134081",""
"1ZR4R346YW91325292","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3133808",""
"1ZR4R346YW91369932","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134058",""
"1ZR4R346YW91382668","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3133194",""
"1ZR4R346YW91387341","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133437",""
"1ZR4R346YW91393236","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.89","-$3.33","$16.56","3133572",""
"1ZR4R346YW91408229","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.59","-$3.01","$14.58","3133751",""
"1ZR4R346YW91431382","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3133175",""
"1ZR4R346YW91451995","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3133564",""
"1ZR4R346YW91468736","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133675",""
"1ZR4R346YW91478305","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133560",""
"1ZR4R346YW91490989","Dec 06, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3132974",""
"1ZR4R346YW91495911","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.42","-$2.89","$11.53","3134088",""
"1ZR4R346YW91535109","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.41","-$3.43","$16.98","3133767",""
"1ZR4R346YW91609888","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$12.44","-$2.49","$9.95","3134068",""
