Tracking Number,Transaction Date,Service Code,Published Charge,Incentive Charge,Net Charge,Ref No 1,Billed Weight,Package Quantity,Zone,Receiver City,Receiver State,Receiver Postal,Detail Keyed Dim,Total Cost,Adjustment
1ZR4R346YW91970620,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140113,6.0,1,5.0,AUSTIN,TX,78746,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW91970237,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140230,4.0,1,5.0,Bourbonnais,IL,60914,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW91887640,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140106,6.0,1,6.0,Olmsted Falls,OH,44138,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW91780095,2022-03-01,UPS SurePost - 1 LB or Greater,18.59,-2.8,15.79,3140257,4.0,1,3.0,Las Vegas,NM,87701,14.0x 14.0x  4.0,15.79,0.0
1ZR4R346YW91689079,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140252,4.0,1,5.0,Lathrop,CA,95330,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW91681666,2022-03-01,UPS SurePost - 1 LB or Greater,19.22,-3.84,15.38,3140255,9.0,1,6.0,Johnson City,TN,37604,15.0x 15.0x 10.0,15.38,0.0
1ZR4R346YW97262607,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140194,6.0,1,5.0,De Pere,WI,54115,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW91086416,2022-03-01,UPS SurePost - 1 LB or Greater,23.0,-3.69,19.31,3140184,9.0,1,5.0,Atkinson,IL,61235,15.0x 15.0x 10.0,19.31,0.0
1ZR4R346YW98364942,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140209,6.0,1,5.0,Dallas,TX,75209,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW98999892,2022-03-01,UPS SurePost - 1 LB or Greater,20.24,-3.28,16.96,3140215,4.0,1,5.0,Forney,TX,75126,14.0x 14.0x  4.0,16.96,0.0
1ZR4R346YW98787165,2022-03-01,UPS SurePost - 1 LB or Greater,17.92,-3.57,14.35,3140157,4.0,1,7.0,Arlington,MA,02474,14.0x 14.0x  4.0,14.350000000000001,0.0
1ZR4R346YW99734219,2022-03-01,UPS SurePost - 1 LB or Greater,20.24,-3.28,16.96,3140142,4.0,1,5.0,Wadesville,IN,47638,14.0x 14.0x  4.0,16.96,0.0
1ZR4R346YW98218314,2022-03-01,UPS SurePost - 1 LB or Greater,15.44,-3.08,12.36,3140211,4.0,1,4.0,WEST DES MOINES,IA,50265,14.0x 14.0x  4.0,12.360000000000001,0.0
